ID,Name,Category,Path
aws-iot-sitewise,aws-iot-sitewise,aws,aws/aws-iot-sitewise.svg
aws-iot-things-graph,aws-iot-things-graph,aws,aws/aws-iot-things-graph.svg
aws-iot-twinmaker,aws-iot-twinmaker,aws,aws/aws-iot-twinmaker.svg
aws-iq,aws-iq,aws,aws/aws-iq.svg
aws-kendra,aws-kendra,aws,aws/aws-kendra.svg
aws-key-management-service,aws-key-management-service,aws,aws/aws-key-management-service.svg
aws-keyspaces,aws-keyspaces,aws,aws/aws-keyspaces.svg
aws-kinesis-data-analytics,aws-kinesis-data-analytics,aws,aws/aws-kinesis-data-analytics.svg
aws-kinesis-data-streams,aws-kinesis-data-streams,aws,aws/aws-kinesis-data-streams.svg
aws-kinesis-firehose,aws-kinesis-firehose,aws,aws/aws-kinesis-firehose.svg
aws-kinesis-video-streams,aws-kinesis-video-streams,aws,aws/aws-kinesis-video-streams.svg
aws-kinesis,aws-kinesis,aws,aws/aws-kinesis.svg
aws-lake-formation,aws-lake-formation,aws,aws/aws-lake-formation.svg
aws-lambda,aws-lambda,aws,aws/aws-lambda.svg
aws-launch-wizard,aws-launch-wizard,aws,aws/aws-launch-wizard.svg
aws-lex,aws-lex,aws,aws/aws-lex.svg
aws-license-manager,aws-license-manager,aws,aws/aws-license-manager.svg
aws-lightsail,aws-lightsail,aws,aws/aws-lightsail.svg
aws-local-zones,aws-local-zones,aws,aws/aws-local-zones.svg
aws-location-service,aws-location-service,aws,aws/aws-location-service.svg
aws-lookout-for-equipment,aws-lookout-for-equipment,aws,aws/aws-lookout-for-equipment.svg
aws-lookout-for-metrics,aws-lookout-for-metrics,aws,aws/aws-lookout-for-metrics.svg
aws-lookout-for-vision,aws-lookout-for-vision,aws,aws/aws-lookout-for-vision.svg
aws-machine-learning,aws-machine-learning,aws,aws/aws-machine-learning.svg
aws-macie,aws-macie,aws,aws/aws-macie.svg
aws-mainframe-modernization,aws-mainframe-modernization,aws,aws/aws-mainframe-modernization.svg
aws-managed-blockchain,aws-managed-blockchain,aws,aws/aws-managed-blockchain.svg
aws-managed-grafana,aws-managed-grafana,aws,aws/aws-managed-grafana.svg
aws-managed-service-for-prometheus,aws-managed-service-for-prometheus,aws,aws/aws-managed-service-for-prometheus.svg
aws-managed-services,aws-managed-services,aws,aws/aws-managed-services.svg
aws-managed-streaming-for-apache-kafka,aws-managed-streaming-for-apache-kafka,aws,aws/aws-managed-streaming-for-apache-kafka.svg
aws-managed-workflows-for-apache-airflow,aws-managed-workflows-for-apache-airflow,aws,aws/aws-managed-workflows-for-apache-airflow.svg
aws-management-console,aws-management-console,aws,aws/aws-management-console.svg
aws-management-governance,aws-management-governance,aws,aws/aws-management-governance.svg
aws-marketplace,aws-marketplace,aws,aws/aws-marketplace.svg
aws-media-services,aws-media-services,aws,aws/aws-media-services.svg
aws-memorydb-for-redis,aws-memorydb-for-redis,aws,aws/aws-memorydb-for-redis.svg
aws-migration-evaluator,aws-migration-evaluator,aws,aws/aws-migration-evaluator.svg
aws-migration-hub,aws-migration-hub,aws,aws/aws-migration-hub.svg
aws-migration-transfer,aws-migration-transfer,aws,aws/aws-migration-transfer.svg
aws-monitron,aws-monitron,aws,aws/aws-monitron.svg
aws-mq,aws-mq,aws,aws/aws-mq.svg
aws-neptune,aws-neptune,aws,aws/aws-neptune.svg
aws-network-firewall,aws-network-firewall,aws,aws/aws-network-firewall.svg
aws-networking-content-delivery,aws-networking-content-delivery,aws,aws/aws-networking-content-delivery.svg
aws-neuron,aws-neuron,aws,aws/aws-neuron.svg
aws-nice-dcv,aws-nice-dcv,aws,aws/aws-nice-dcv.svg
aws-nice-enginframe,aws-nice-enginframe,aws,aws/aws-nice-enginframe.svg
aws-nimble-studio,aws-nimble-studio,aws,aws/aws-nimble-studio.svg
aws-nitro-enclaves,aws-nitro-enclaves,aws,aws/aws-nitro-enclaves.svg
aws-open-3d-engine,aws-open-3d-engine,aws,aws/aws-open-3d-engine.svg
aws-opensearch-service,aws-opensearch-service,aws,aws/aws-opensearch-service.svg
aws-opsworks,aws-opsworks,aws,aws/aws-opsworks.svg
aws-organizations,aws-organizations,aws,aws/aws-organizations.svg
aws-outposts-family,aws-outposts-family,aws,aws/aws-outposts-family.svg
aws-outposts-rack,aws-outposts-rack,aws,aws/aws-outposts-rack.svg
aws-outposts-servers,aws-outposts-servers,aws,aws/aws-outposts-servers.svg
aws-panorama,aws-panorama,aws,aws/aws-panorama.svg
aws-parallelcluster,aws-parallelcluster,aws,aws/aws-parallelcluster.svg
aws-personal-health-dashboard,aws-personal-health-dashboard,aws,aws/aws-personal-health-dashboard.svg
aws-personalize,aws-personalize,aws,aws/aws-personalize.svg
aws-pinpoint-apis,aws-pinpoint-apis,aws,aws/aws-pinpoint-apis.svg
aws-pinpoint,aws-pinpoint,aws,aws/aws-pinpoint.svg
aws-polly,aws-polly,aws,aws/aws-polly.svg
aws-private-5g,aws-private-5g,aws,aws/aws-private-5g.svg
aws-privatelink,aws-privatelink,aws,aws/aws-privatelink.svg
aws-professional-services,aws-professional-services,aws,aws/aws-professional-services.svg
aws-proton,aws-proton,aws,aws/aws-proton.svg
aws-quantum-ledger-database,aws-quantum-ledger-database,aws,aws/aws-quantum-ledger-database.svg
aws-quantum-technologies,aws-quantum-technologies,aws,aws/aws-quantum-technologies.svg
aws-quicksight,aws-quicksight,aws,aws/aws-quicksight.svg
aws-rds-on-vmware,aws-rds-on-vmware,aws,aws/aws-rds-on-vmware.svg
aws-rds,aws-rds,aws,aws/aws-rds.svg
aws-red-hat-openshift,aws-red-hat-openshift,aws,aws/aws-red-hat-openshift.svg
aws-redshift,aws-redshift,aws,aws/aws-redshift.svg
aws-rekognition,aws-rekognition,aws,aws/aws-rekognition.svg
aws-repost,aws-repost,aws,aws/aws-repost.svg
aws-reserved-instance-reporting,aws-reserved-instance-reporting,aws,aws/aws-reserved-instance-reporting.svg
aws-resilience-hub,aws-resilience-hub,aws,aws/aws-resilience-hub.svg
aws-resource-access-manager,aws-resource-access-manager,aws,aws/aws-resource-access-manager.svg
aws-robomaker,aws-robomaker,aws,aws/aws-robomaker.svg
aws-robotics,aws-robotics,aws,aws/aws-robotics.svg
